            user_name            | count 
 dengrebecca                     |     3
 Denise Schoenberg               |     3
 DenisGG                         |    52
 Dennis Choi                     |   134
 Derek B                         |     2
 DeronHH                         |     8
 detektib719                     |    11
 Devendrk                        |    16
 Dguillen                        |    10
 dhalprin                        |    10
 Diaara                          |     6
 dianabstf                       |    22
 dianatcarevskaia                |    14
 Dianne Martin                   |     6
 Diego_SB                        |     3
 Diego Tejada                    |     3
 Dienekes                        |     2
 Digvijay Singh                  |    34
 Dillernd1010                    |    14
 diogovguedes                    |     9
 div5                            |    33
 divyai                          |   536
 dj33                            |    16
 djesenko                        |     1
 djl001                          |     3
 djsherwintp                     |     7
 djwendel                        |     3
 dlstelly                        |    30
 dlvh                            |     9
 DLZ                             |     5
 dmercado                        |    10
 dmrad77                         |     1
 dmx23584                        |     5
 dnana                           |     3
 DOMSMITH                        |     1
 Dooly Dinosaur                  |    20
 DoraElefteria                   |    76
 dotmrc                          |     9
 doubleloop                      |     1
 DouglasML                       |     3
 douira                          |    29
 Dowed                           |    14
 dptsrkr                         |     1
 dragon15423(sudan)              |    27
 dresavestrees                   |     1
 DrewM72                         |     4
 dsarmabhagabati                 |    13
 dsh4                            |     1
 Dtay7                           |    40
 Dulce luna                      |     1
 DuncanGW                        |    22
 Dũng Thanh                      |     2
 dunstanbrown                    |     9
 dustles                         |     3
 Dustyn Palmer                   |     1
 DVoges                          |    16
 dvsancho                        |     9
 DXRG                            |    16
 eadorrance                      |     3
 ealp                            |     1
 echellwig                       |     5
 Ecniv                           |    12
 eddie11                         |     3
 Eddie Walsh 808                 |    25
 EdentheVolunteer                |    40
 Eder2099                        |    19
 edgicide                        |   261
 EdithO                          |     2
 edog2016                        |     6
 Edomenecht                      |    20
 EdwardDC                        |    47
 edward rodge                    |     1
 Edwith                          |    16
 efekilsedar                     |     5
 efennell                        |     5
 eghale                          |    55
 Egor Petrenko                   |     1
 Eivindtm                        |     3
 EJ28                            |     2
 EJM7                            |   110
 E Jones                         |     5
 Ekaterina88                     |     2
 EK Blessing                     |     5
 ekpes                           |     4
 E-lace                          |    16
 Elaine7                         |     2
 Elaine Campbell                 |     4
 Elaivanova                      |     2
 elbainbridge                    |    18
 elcopaz                         |    10
 eleanorclement                  |     5
 EleanorD                        |     6
 elefanant                       |     3
 EleonoreMT                      |   156
 elhubin                         |     8
 Elineolstad                     |     9
 Elis25                          |     1
 elisabet_eg                     |    50
